attribute,group,n,actual_pos_rate,FPR,FNR,selection_rate,TP,FP,FN,TN
sex,Female,5421,0.10883600811658366,0.05547505692403229,0.23898305084745763,0.1322634200332042,449,268,141,4563
sex,Male,10860,0.2998158379373849,0.24710678590215676,0.12131449631449631,0.43646408839779005,2861,1879,395,5725
race,Amer-Indian-Eskimo,159,0.11949685534591195,0.07857142857142857,0.42105263157894735,0.13836477987421383,11,11,8,129
race,Asian-Pac-Islander,480,0.27708333333333335,0.16714697406340057,0.18045112781954886,0.34791666666666665,109,58,24,289
race,Black,1561,0.11467008327994875,0.06222865412445731,0.2346368715083799,0.14285714285714285,137,86,42,1296
race,Other,135,0.18518518518518517,0.03636363636363636,0.16,0.18518518518518517,21,4,4,106
race,White,13946,0.2502509680195038,0.1901300688599847,0.13123209169054442,0.3599598451168794,3032,1988,458,8468
age,≤25,3216,0.017101990049751242,0.00506168933881683,0.5636363636363636,0.012437810945273632,24,16,31,3145
age,26-35,4205,0.18739595719381688,0.13140181445712612,0.21065989847715735,0.25469678953626634,622,449,166,2968
age,36-45,3943,0.3441541973116916,0.30162412993039445,0.09211495946941783,0.5102713669794573,1232,780,125,1806
age,46-55,2758,0.38034807831762146,0.3270918665886483,0.09914204003813155,0.5453226976069616,945,559,104,1150
age,56-65,1514,0.31241743725231175,0.27857829010566765,0.13107822410147993,0.4630118890356671,411,290,62,751
age,65+,645,0.19224806201550387,0.1017274472168906,0.3870967741935484,0.2,76,53,48,468
marital-status,Divorced,2190,0.09497716894977169,0.044399596367305755,0.38461538461538464,0.09863013698630137,128,88,80,1894
marital-status,Married-AF-spouse,14,0.2857142857142857,0.3,0.0,0.5,4,3,0,7
marital-status,Married-civ-spouse,7403,0.44468458732946103,0.46460715154463633,0.09143377885783718,0.6620289071997839,2991,1910,301,2201
marital-status,Married-spouse-absent,210,0.11428571428571428,0.016129032258064516,0.4583333333333333,0.0761904761904762,13,3,11,183
marital-status,Never-married,5434,0.044534412955465584,0.02234206471494607,0.45041322314049587,0.0458225984541774,133,116,109,5076
marital-status,Separated,505,0.06534653465346535,0.025423728813559324,0.45454545454545453,0.0594059405940594,18,12,15,460
marital-status,Widowed,525,0.08190476190476191,0.03112033195020747,0.46511627906976744,0.07238095238095238,23,15,20,467
native-country,Cambodia,9,0.2222222222222222,0.2857142857142857,0.0,0.4444444444444444,2,2,0,5
native-country,Canada,61,0.39344262295081966,0.08108108108108109,0.20833333333333334,0.36065573770491804,19,3,5,34
native-country,China,47,0.3404255319148936,0.25806451612903225,0.1875,0.44680851063829785,13,8,3,23
native-country,Columbia,26,0.07692307692307693,0.08333333333333333,0.0,0.15384615384615385,2,2,0,22
native-country,Cuba,43,0.20930232558139536,0.17647058823529413,0.3333333333333333,0.27906976744186046,6,6,3,28
native-country,Dominican-Republic,33,0.09090909090909091,0.13333333333333333,0.0,0.21212121212121213,3,4,0,26
native-country,Ecuador,17,0.11764705882352941,0.06666666666666667,0.0,0.17647058823529413,2,1,0,14
native-country,El-Salvador,49,0.04081632653061224,0.02127659574468085,1.0,0.02040816326530612,0,1,2,46
native-country,England,37,0.4594594594594595,0.05,0.11764705882352941,0.43243243243243246,15,1,2,19
native-country,France,9,0.4444444444444444,0.0,0.25,0.3333333333333333,3,0,1,5
native-country,Germany,69,0.2028985507246377,0.14545454545454545,0.14285714285714285,0.2898550724637681,12,8,2,47
native-country,Greece,20,0.5,0.3,0.2,0.55,8,3,2,7
native-country,Guatemala,24,0.0,0.041666666666666664,,0.041666666666666664,0,1,0,23
native-country,Haiti,31,0.16129032258064516,0.038461538461538464,0.2,0.16129032258064516,4,1,1,25
native-country,Honduras,7,0.14285714285714285,0.0,0.0,0.14285714285714285,1,0,0,6
native-country,Hong,10,0.2,0.125,0.0,0.3,2,1,0,7
native-country,Hungary,6,0.5,0.3333333333333333,0.3333333333333333,0.5,2,1,1,2
native-country,India,51,0.43137254901960786,0.3448275862068966,0.22727272727272727,0.5294117647058824,17,10,5,19
native-country,Iran,16,0.25,0.4166666666666667,0.0,0.5625,4,5,0,7
native-country,Ireland,13,0.46153846153846156,0.14285714285714285,0.5,0.3076923076923077,3,1,3,6
native-country,Italy,32,0.28125,0.13043478260869565,0.2222222222222222,0.3125,7,3,2,20
native-country,Jamaica,25,0.2,0.05,0.4,0.16,3,1,2,19
native-country,Japan,30,0.26666666666666666,0.36363636363636365,0.0,0.5333333333333333,8,8,0,14
native-country,Laos,5,0.0,0.0,,0.0,0,0,0,5
native-country,Mexico,308,0.045454545454545456,0.027210884353741496,0.35714285714285715,0.05519480519480519,9,8,5,286
native-country,Nicaragua,15,0.06666666666666667,0.0,1.0,0.0,0,0,1,14
native-country,Outlying-US(Guam-USVI-etc),9,0.1111111111111111,0.0,0.0,0.1111111111111111,1,0,0,8
native-country,Peru,15,0.13333333333333333,0.23076923076923078,0.0,0.3333333333333333,2,3,0,10
native-country,Philippines,97,0.24742268041237114,0.1917808219178082,0.25,0.32989690721649484,18,14,6,59
native-country,Poland,27,0.18518518518518517,0.2727272727272727,0.2,0.37037037037037035,4,6,1,16
native-country,Portugal,30,0.26666666666666666,0.18181818181818182,0.75,0.2,2,4,6,18
native-country,Puerto-Rico,70,0.11428571428571428,0.04838709677419355,0.125,0.14285714285714285,7,3,1,59
native-country,Scotland,9,0.0,0.4444444444444444,,0.4444444444444444,0,4,0,5
native-country,South,35,0.11428571428571428,0.0967741935483871,0.25,0.17142857142857143,3,3,1,28
native-country,Taiwan,14,0.42857142857142855,0.125,0.0,0.5,6,1,0,7
native-country,Thailand,12,0.16666666666666666,0.3,0.0,0.4166666666666667,2,3,0,7
native-country,Trinadad&Tobago,8,0.0,0.125,,0.125,0,1,0,7
native-country,United-States,14662,0.24028099849952259,0.17928000718197326,0.13142208345160375,0.3449051971081708,3060,1997,463,9142
native-country,Unknown,274,0.27007299270072993,0.135,0.22972972972972974,0.30656934306569344,57,27,17,173
native-country,Vietnam,19,0.10526315789473684,0.11764705882352941,0.0,0.21052631578947367,2,2,0,15
native-country,Yugoslavia,7,0.2857142857142857,0.0,0.5,0.14285714285714285,1,0,1,5
